Όνομα Σχολής,Πόλη,Μόρια
ΠΑΜΑΚ - Οργάνωσης και Διοίκησης Επιχειρήσεων,Θεσσαλονίκη,17945
ΟΠΑ - Διοικητικής Επιστήμης και Τεχνολογίας,Αθήνα,17800
Πανεπιστήμιο Πειραιά - Διεθνών και Ευρωπαϊκών Σπουδών,Πειραιάς,17400
ΠΑΜΑΚ - Οικονομικών Επιστημών,Θεσσαλονίκη,17065
ΟΠΑ - Οργάνωσης και Διοίκησης Επιχειρήσεων,Αθήνα,17050
Πανεπιστήμιο Πειραιά - Ναυτιλιακών Σπουδών,Πειραιάς,16800
ΟΠΑ - Μάρκετινγκ και Επικοινωνίας,Αθήνα,16525
ΑΠΘ - Οικονομικών Επιστημών,Θεσσαλονίκη,15920
ΟΠΑ - Λογιστικής και Χρηματοοικονομικής,Αθήνα,15915
ΔΙΠΑΕ - Μηχανικών Παραγωγής και Διοίκησης,Θεσσαλονίκη,15780
Πανεπιστήμιο Πειραιά - Οργάνωσης και Διοίκησης Επιχειρήσεων,Πειραιάς,15610
ΔΠΘ - Μηχανικών Παραγωγής και Διοίκησης,Ξάνθη,15550
Πολυτεχνείο Κρήτης - Μηχανικών Παραγωγής και Διοίκησης,Χανιά,15490
ΠΑΜΑΚ - Λογιστικής και Χρηματοοικονομικής,Θεσσαλονίκη,15325
ΕΚΠΑ - Διοίκησης Επιχειρήσεων και Οργανισμών,Αθήνα,15250
ΔΠΘ - Κοινωνικής Εργασίας,Κομοτηνή,15120
ΠΑΜΑΚ - Εκπαιδευτικής και Κοινωνικής Πολιτικής,Θεσσαλονίκη,15000
ΠΑΜΑΚ - Διεθνών και Ευρωπαϊκών Σπουδών,Θεσσαλονίκη,14980
ΟΠΑ - Οικονομικής Επιστήμης,Αθήνα,14825
"ΔΙΠΑΕ - Διοίκησης Οργανισμών, Marketing και Τουρισμού",Θεσσαλονίκη,14640
Πανεπιστήμιο Πειραιά - Βιομηχανικής Διοίκησης και Τεχνολογίας,Πειραιάς,14340
ΔΙΠΑΕ - Λογιστικής και Πληροφοριακών Συστημάτων,Θεσσαλονίκη,14150
Πανεπιστήμιο Θεσσαλίας - Οικονομικών Επιστημών,Βόλος,14147
Πανεπιστήμιο Πειραιά - Τουριστικών Σπουδών,Πειραιάς,14090
Γεωπονικό Πανεπιστήμιο - Αγροτικής Οικονομίας και Ανάπτυξης,Αθήνα,13940
Πανεπιστήμιο Αιγαίου - Μηχανικών Οικονομίας και Διοίκησης,Χίος,13675
Πανεπιστήμιο Πειραιά - Οικονομικής Επιστήμης,Πειραιάς,13600
Πανεπιστήμιο Πατρών - Διοίκησης Τουρισμού,Πάτρα,13540
ΔΙΠΑΕ - Βιβλιοθηκονομίας και Συστημάτων Πληροφόρησης,Θεσσαλονίκη,13375
ΟΠΑ - Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών,Αθήνα,13280
Πάντειο - Κοινωνιολογίας,Αθήνα,13250
ΑΠΘ - Πολιτικών Επιστημών,Θεσσαλονίκη,13250
Πανεπιστήμιο Ιωαννίνων - Οικονομικών Επιστημών,Ιωάννινα,13200
ΔΠΘ - Διοικητικής Επιστήμης και Τεχνολογίας,Καβάλα,13020
Χαροκόπειο - Οικονομίας και Βιώσιμης Ανάπτυξης,Αθήνα,12960
Πανεπιστήμιο Δυτικής Αττικής - Διοίκησης Επιχειρήσεων,Αιγάλεω,12850
Πανεπιστήμιο Δυτικής Μακεδονίας - Διοικητικής Επιστήμης,Κοζάνη,12775
Πανεπιστήμιο Δυτικής Αττικής - Αρχειονομίας και Πληροφόρησης,Αιγάλεω,12750
