Ιατρικής;Αθήνα;19460
Ιατρικής;Θεσσαλονίκη;19440
Ιατρικής;Λάρισα;19380
Ιατρικής;Πάτρα;19340
Οδοντιατρικής;Αθήνα;19300
Ιατρικής;Ιωάννινα;19300
Ιατρικής;Αλεξ/πολη;19280
Οδοντιατρικής;Θεσσαλονίκη;19255
Κτηνιατρικής;Θεσσαλονίκη;19240
Ιατρικής;Ηράκλειο;19240
Φαρμακευτικής;Αθήνα;19190
Φαρμακευτικής;Πάτρα;19120
Φαρμακευτικής;Θεσσαλονίκη;19050
Βιολογίας;Θεσσαλονίκη;18980
Βιολογίας;Αθήνα;18980
Κτηνιατρικής;Καρδίτσα;18975
Εργοθεραπείας;Αιγάλεω;18860
Μοριακής Βιολογίας και Γενετικής;Αλεξ/πολη;18825
Φυσικοθεραπείας;Θεσσαλονίκη;18810
Βιολογίας;Πάτρα;18615
Φυσικοθεραπείας;Αιγάλεω;18550
Βιολογικών Εφαρμογών και Τεχνολογιών;Ιωάννινα;18520
Φυσικοθεραπείας;Πάτρα;18490
Βιολογίας;Ηράκλειο;18487
Φυσικοθεραπείας;Λαμία;18430
Εργοθεραπείας;Πτολεμαΐδα;18400
Επιστήμης Διαιτολογίας και Διατροφής;Αθήνα;18320
Βιοϊατρικών Επιστημών;Αιγάλεω;18275
Επιστημών Διατροφής και Διαιτολογίας;Θεσσαλονίκη;18250
Βιοϊατρικών Επιστημών;Θεσσαλονίκη;18140
Νοσηλευτικής;Αθήνα;17850
Βιοτεχνολογίας;Αθήνα;17775
Μαιευτικής;Θεσσαλονίκη;17750
Λογοθεραπείας;Ιωάννινα;17685
Βιοχημείας και Βιοτεχνολογίας;Λάρισα;17670
Λογοθεραπείας;Πάτρα;17655
Μαιευτικής;Αιγάλεω;17625
Επιστημών Προσχολικής Αγωγής και Εκπαίδευσης;Θεσσαλονίκη;17600
Φυσικοθεραπείας;Σπάρτη;17600
Νοσηλευτικής;Θεσσαλονίκη;17350
Εκπαίδευσης και Αγωγής στην Προσχολική Ηλικία;Αθήνα;17300
Λογοθεραπείας;Καλαμάτα;17290
Νοσηλευτικής;Αιγάλεω;17270
Κοινωνικής Εργασίας;Αιγάλεω;17240
Επιστήμης Διατροφής και Διαιτολογίας;Καλαμάτα;17220
Διαιτολογίας και Διατροφολογίας;Τρίκαλα;17185
Νοσηλευτικής;Λάρισα;17060
Επιστήμης Τροφίμων και Διατροφής του Ανθρώπου;Αθήνα;17000
Δημόσιας και Ενιαίας Υγείας;Καρδίτσα;16780
Νοσηλευτικής;Πάτρα;16725
Μαιευτικής;Πτολεμαΐδα;16725
Νοσηλευτικής;Τρίπολη;16660
Δημόσιας και Κοινοτικής Υγείας;Αθήνα;16660
Παιδαγωγικό Προσχολικής Εκπαίδευσης;Βόλος;16625
Επιστημών της Εκπαίδευσης και της Αγωγής στην Προσχολική Ηλικία;Πάτρα;16625
Κοινωνικής Εργασίας;Ηράκλειο;16570
Νοσηλευτικής;Ιωάννινα;16550
Επιστημών Διατροφής και Διαιτολογίας;Σητεία;16470
Νοσηλευτικής;Ηράκλειο;16425
Αγωγής και Φροντίδας στην Πρώιμη Παιδική Ηλικία;Θεσσαλονίκη;16300
Αγωγής και Φροντίδας στην Πρώιμη Παιδική Ηλικία;Αιγάλεω;16290
Παιδαγωγικό Νηπιαγωγών;Ιωάννινα;16280
Νοσηλευτικής;Αλεξ/πολη;16150
Αγωγής και Φροντίδας στην Πρώιμη Παιδική Ηλικία;Ιωάννινα;16125
Επιστήμης Τροφίμων και Διατροφής;Λήμνος;16075
Επιστημών της Εκπαίδευσης στην Προσχολική Ηλικία;Αλεξ/πολη;15960
Παιδαγωγικό Προσχολικής Εκπαίδευσης;Ρέθυμνο;15960
Παιδαγωγικό Νηπιαγωγών;Φλώρινα;15950
Επιστημών της Προσχολικής Αγωγής και Εκπαιδευτικού Σχεδιασμού;Ρόδος;15625
