ΑΠΘ Μηχανολόγων Μηχανικών;Θεσσαλονίκη;18300
ΕΜΠ Μηχανολόγων Μηχανικών;Αθήνα;18000
ΕΜΠ Ναυπηγών Μηχανολόγων Μηχανικών;Αθήνα;18000
Πανεπιστήμιο Θεσσαλίας Μηχανολόγων Μηχανικών;Βόλος;17790
Πανεπιστήμιο Πατρών Μηχανολόγων και Αεροναυπηγών Μηχανικών;Πάτρα;17475
Πανεπιστήμιο Δυτικής Αττικής Μηχανολόγων Μηχανικών;Αιγάλεω;17150
Πανεπιστήμιο Δυτικής Μακεδονίας Μηχανολόγων Μηχανικών;Κοζάνη;16925
Πανεπιστήμιο Πειραιά Ναυτιλιακών Σπουδών;Πειραιάς;16800
ΔΙΠΑΕ Μηχανολόγων Μηχανικών;Σέρρες;16640
Πανεπιστήμιο Πελοποννήσου Μηχανολόγων Μηχανικών;Πάτρα;16540
Πανεπιστήμιο Δυτικής Αττικής Ναυπηγών Μηχανικών;Αιγάλεω;16520
ΕΛΜΕΠΑ Μηχανολόγων Μηχανικών;Ηράκλειο;16200
ΑΣΠΑΙΤΕ Εκπαιδευτικών Μηχανολόγων Μηχανικών;Αθήνα;15870
ΔΙΠΑΕ Μηχανικών Παραγωγής και Διοίκησης;Θεσσαλονίκη;15780
ΕΜΠ Μεταλλειολόγων - Μεταλλουργών Μηχανικών;Αθήνα;15150
Παν. Δυτ. Μακεδονίας Μηχανικών Σχεδίασης Προϊόντων και Συστημάτων;Κοζάνη;15150
Παν. Θεσσαλίας Συστημάτων Ενέργειας;Λάρισα;15120
ΔΠΘ Μηχανικών Περιβάλλοντος;Ξάνθη;14950
Πολυτεχνείο Κρήτης Μηχανικών Ορυκτών Πόρων;Χανιά;14785
Πολυτεχνείο Κρήτης Χημικών Μηχανικών και Μηχανικών Περιβάλλοντος;Χανιά;14550
Παν. Δυτ. Μακεδονίας Μηχανικών Ορυκτών Πόρων;Κοζάνη;14400
ΕΚΠΑ Αεροδιαστημικής Επιστήμης και Τεχνολογίας;Ψαχνά Εύβοιας;14360
Παν. Πειραιά Βιομηχανικής Διοίκησης και Τεχνολογίας;Πειραιάς;14340
Παν. Θεσσαλίας Περιβάλλοντος;Λάρισα;13790
Παν. Αιγαίου Μηχανικών Οικονομίας και Διοίκησης;Χίος;13675
Ιόνιο Παν. Περιβάλλοντος;Ζάκυνθος;12950
Παν. Αιγαίου Περιβάλλοντος;Μυτιλήνη;12380
ΕΚΠΑ Διαχείρισης Λιμένων και Ναυτιλίας;Ψαχνά Εύβοιας;12375
Παν. Αιγαίου Ναυτιλίας και Επιχειρηματικών Υπηρεσιών;Χίος;11780
Χαροκόπειο Παν. Γεωγραφίας;Αθήνα;10975
Παν. Αιγαίου Ωκεανογραφίας και Θαλασσίων Βιοεπιστημών;Μυτιλήνη;9930
Παν. Αιγαίου Γεωγραφίας;Μυτιλήνη;9500
